Date,Open,High,Low,Close,Adj Close,Volume
2016-07-04,332.769989,333.630005,329.369995,329.779999,329.779999,259626800
2016-07-05,328.920013,328.920013,323.570007,324.170013,324.170013,354040000
2016-07-06,322.839996,324.230011,317.239990,318.760010,318.760010,451299600
2016-07-07,320.239990,324.700012,320.239990,322.119995,322.119995,315960800
2016-07-08,321.529999,327.609985,320.970001,327.350006,327.350006,355879800
2016-07-11,328.440002,333.000000,327.649994,332.720001,332.720001,325997900
2016-07-12,333.019989,336.619995,332.820007,336.260010,336.260010,397449400
2016-07-13,336.890015,338.109985,335.829987,335.829987,335.829987,364620400
2016-07-14,336.549988,339.880005,336.549988,338.500000,338.500000,307132000
2016-07-15,338.230011,338.839996,336.190002,337.920013,337.920013,270526300
2016-07-18,338.000000,340.609985,337.239990,338.700012,338.700012,249796900
2016-07-19,337.959991,338.429993,335.170013,337.320007,337.320007,242530900
2016-07-20,337.929993,340.850006,337.619995,340.809998,340.809998,247825700
2016-07-21,341.269989,341.809998,338.359985,340.579987,340.579987,291767100
2016-07-22,340.239990,340.730011,338.130005,340.329987,340.329987,228449300
2016-07-25,340.859985,343.079987,339.790009,340.929993,340.929993,221183300
2016-07-26,340.420013,342.190002,338.920013,341.260010,341.260010,243216400
2016-07-27,341.869995,344.019989,341.869995,342.739990,342.739990,307255100
2016-07-28,342.399994,343.839996,339.470001,339.470001,339.470001,350850800
2016-07-29,340.559998,342.140015,339.660004,341.890015,341.890015,320084400
2016-08-02,339.459991,339.459991,335.070007,335.470001,335.470001,340782500
2016-08-03,336.299988,336.720001,334.200012,335.579987,335.579987,303452000
2016-08-04,336.329987,338.489990,336.089996,337.839996,337.839996,264966700
2016-08-05,338.000000,341.679993,338.000000,341.380005,341.380005,263348700
2016-08-08,341.369995,343.049988,340.980011,341.529999,341.529999,219581000
2016-08-09,340.989990,344.929993,340.890015,344.670013,344.670013,240675200
2016-08-10,344.200012,344.880005,343.260010,343.980011,343.980011,219303000
2016-08-11,344.209991,346.660004,343.160004,346.660004,346.660004,205627300
2016-08-12,346.730011,346.989990,345.649994,346.089996,346.089996,180891800
2016-08-15,346.230011,347.540009,345.690002,346.049988,346.049988,153481800
2016-08-16,345.109985,345.829987,343.299988,343.320007,343.320007,194725200
2016-08-17,344.179993,344.690002,340.209991,340.470001,340.470001,204096100
2016-08-18,341.190002,343.059998,341.190002,342.910004,342.910004,195802100
2016-08-19,342.690002,342.850006,338.820007,340.140015,340.140015,222254700
2016-08-22,340.339996,343.269989,339.160004,340.429993,340.429993,189702700
2016-08-23,341.230011,344.260010,341.230011,343.600006,343.600006,206004700
2016-08-24,342.760010,345.700012,341.559998,344.929993,344.929993,236403900
2016-08-25,343.880005,343.880005,340.799988,342.019989,342.019989,202874300
2016-08-26,341.920013,344.290009,340.950012,343.720001,343.720001,161379500
2016-08-29,343.239990,343.470001,341.369995,343.200012,343.200012,131220100
2016-08-30,343.480011,345.859985,343.480011,344.750000,344.750000,196899300
2016-08-31,344.540009,346.029999,343.420013,343.529999,343.529999,290557700
2016-09-01,344.209991,346.899994,342.720001,343.660004,343.660004,308843700
2016-09-02,344.040009,350.850006,343.529999,350.440002,350.440002,290333900
2016-09-05,350.700012,351.769989,350.450012,350.619995,350.619995,191005900
2016-09-06,351.320007,351.559998,349.089996,349.459991,349.459991,210267800
2016-09-07,349.559998,351.010010,348.510010,350.459991,350.459991,253336200
2016-09-08,350.149994,351.519989,346.339996,349.320007,349.320007,255448100
2016-09-09,348.679993,348.880005,344.899994,345.519989,345.519989,246497900
2016-09-12,343.619995,343.619995,338.500000,342.230011,342.230011,279348600
2016-09-13,342.739990,344.140015,338.720001,338.720001,338.720001,280878400
